,name,siteName,index,contents,engContents
121,&#59773;못,&#59773;못,IS07S," 사뭇, 막", Just
122,&#59773;로록,&#59773;로록,IS07S," 가라앉는 꼴, 목구멍으로 내리는 꼴", Sinking
123,심껏,심껏,IS07S,힘껏, With all one's might
124,실피,실피,IS07S,슬피, Sadly
125,슬짝,슬짝,IS07S,슬그머니, Secretly
126,쉬이,쉬이,IS07S,쉽게, Easily
127,소소,소소,IS07S," 약간, 조금", Little
128,소드락이,소드락이,IS07S,"수두락이. 작은 것을 한 곳에 많이
", Piling up small things
129,&#59166;리,&#59166;리,IS06D,빨리, Rapidly
130,&#58955;삭,&#58955;삭,IS06S,바싹, Closely
131,&#58954;지란히,&#58954;지란히,IS06S,부지런히, Deligently
132,&#58954;써,&#58954;써,IS06S,&#58959;써. 벌써, Yet
133,&#58954;싹,&#58954;싹,IS06S," 바싹, 몹시", Very much
134,&#58954;랑지게,&#58954;랑지게,IS06S,부지런히, Industrious
135,빈싹²,빈싹²,IS06S,빙싹. 빙그레, With a smile
136,빈도롱이,빈도롱이,IS06S,"빈두룽이. 아무일도 않고 있는 꼴
", Doing nothing
137,비식이,비식이,IS06S,비스듬히, On the skew
138,부끄러이,부끄러이,IS06S,부끄럽게, Shamefully
139,복삭,복삭,IS06S,<박삭<북삭. 털이나 풀 따위가 많이 돋은 꼴, Hairy or grassy
140,벨&#62775;게,벨&#62775;게,IS06S,별다르게, Specially
141,베잭이,베잭이,IS06S,가리운 것 없이 나타나게, Clear and brisk
142,베량,베량,IS06S," 별로, 그다지", Not quite
143,번뜩,번뜩,IS06S,"펀뜩. 번쩍(불이 비치는 꼴)
", With a flash
144,벅석,벅석,IS06S,&#62778;짝. 흠뻑, Completely
145,버젓이,버젓이,IS06S,대답스럽게, Openly
146,배량,배량,IS06S," 그덧, 그다지 흔히", Not that much
147,반&#58250;시,반&#58250;시,IS06S,반드시, For sure
148,바락,바락,IS06S,바락이. 갑자기 성내는 꼴. 한번에 많이 힘차게 넣거나 얻어 들이는 꼴, Exploding with rage
149,&#58723;직악&#58723;직악,&#58723;직악&#58723;직악,IS05S," 만적만적, 만지작만지작", Fingering
150,&#58723;들락이,&#58723;들락이,IS05S,<문들락이. 매끄럽고 둥글게, Smooth and round
151,&#58720;침내,&#58720;침내,IS05S,마침내, Finally
152,밀꺼니,밀꺼니,IS05S,밀껑이. 아무런 까닭 없이, Without a reason
153,미릇,미릇,IS05S,미릿. 미리, In advance
154,미러,미러,IS05S," 평균하여, 모두"," Generally, All"
155,문짝,문짝,IS05S,>&#58723;짝. 흠뻑, Very much
156,문지르르,문지르르,IS05S,"민지르르. 미끄러운 꼴
", Slippery
157,무사,무사,IS05S,왜, Why
158,멜쌕이,멜쌕이,IS05S,헤멜쌕이. 주저앉는 꼴, A way of collapsing
159,멜락멜락,멜락멜락,IS05S,멜싹멜싹. 허물어지기 쉬운 꼴, Likely to fall down
160,멜락,멜락,IS05S," 멜싹<몰락=물싹<밀락=밀싹. 조심성 없이 디디는 꼴, 힘없이 주저앉는 꼴", Collapsing helplessly
161,멘&#58723;제,멘&#58723;제,IS05S,맨 먼저, At the head
162,멘나중,멘나중,IS05S,맨 나중, The very last
163,막상,막상,IS05S," 기껏, 고작, 한껏", At most
164,막,막,IS05S," ①아주, 썩 ②막상"," Pretty well, Quite"
165,&#58341;&#58346;이,&#58341;&#58346;이,IS03D,따뜻이, Warmly
166,&#58341;로,&#58341;로,IS03D,&#62524;로. 따로, Separately
167,&#58270;&#58270;이,&#58270;&#58270;이,IS03S,<&#58346;&#58346;이. 따뜻이, Warmly
168,&#58270;&#58270;,&#58270;&#58270;,IS03S,<&#58346;&#58346;. 날씨가 따뜻한 꼴, Warm in temperature
169,&#58263;뿍,&#58263;뿍,IS03S,담뿍, Enough
170,&#58255;&#58255;이,&#58255;&#58255;이,IS03S,다달이, Monthly
171,&#58253;&#58253;히,&#58253;&#58253;히,IS03S,단단히, Firmly
172,뜨근뜨근,뜨근뜨근,IS03D,①천천히 ②뜨거운 꼴,Slowly
173,든직어니,든직어니,IS03S,>&#58253;직어니. 묵직이, With weight
174,둠실둠실,둠실둠실,IS03S,드문드문, Sporadically
175,둠시렁히,둠시렁히,IS03S,공간적으로 조금 드문드문, Rather sparcely
176,두물이,두물이,IS03S,드물게, Rarely
177,똑,똑,IS03D,꼭, Necessarily
178,뎅강,뎅강,IS03S,묵직한 것이 자빠지는 꼴, Fall down and go boom
179,데번에,데번에,IS03S,뎁번에. 한번에, At once
180,덜싹,덜싹,IS03S,털썩, With a plump
181,더레이,더레이,IS03S,더럽게, Uncleanly
182,대걸롱,대걸롱,IS03S,대강, At large
183,달그락달그락,달그락달그락,IS03S,달그랑달그랑. 달각달각, With a clang
184,다못,다못,IS03S," 다만, 또"," However, and"
185,&#57987;시,&#57987;시,IS02S," 영영, 결국", Never
186,늦이,늦이,IS02S,늦게, Late
187,느런이,느런이,IS02S,나란히, Side by side
188,놀&#58739;놀&#58739;,놀&#58739;놀&#58739;,IS02S,천천히, Slowly
189,노고록이,노고록이,IS02S," 노고롯이. 오북하게, 마음 놓고 편안히"," At ease, snug"
190,너부작이,너부작이,IS02S,넓적하게, Broad and flat
191,너미,너미,IS02S,너무, Too much
192,너그러이,너그러이,IS02S,너그럽게, Generously
193,&#63366;&#63582;&#63658;짝&#57767;티,&#63366;&#63582;&#63658;짝&#57767;티,IS01D,감쪽같이, Be perfect in
194,&#63366;&#63582;&#63658;짝,&#63366;&#63582;&#63658;짝,IS01D,깜짝, Surprisingly
195,&#63366;&#63582;&#63658;막,&#63366;&#63582;&#63658;막,IS01D,깜빡, With a blink
196,&#57791;,&#57791;,IS01S,&#57791;새. 갓(이제 막), Just
197,&#57786;슬&#57786;슬,&#57786;슬&#57786;슬,IS01S,&#57786;을&#57786;을. 눈을 깜작거리는 꼴, Winking
198,&#57767;만&#57767;만,&#57767;만&#57767;만,IS01S,가만가만, Gently
199,&#57767;들&#57767;들,&#57767;들&#57767;들,IS01S,힘없이 움직이는 꼴, Helpless movement
200,&#57767;득이,&#57767;득이,IS01S,가득히, Fully
201,&#57767;득,&#57767;득,IS01S,<&#57767;뜩. 가득<가뜩., Filled with
202,&#57767;닥&#57767;닥,&#57767;닥&#57767;닥,IS01S,<&#57767;딱&#57767;딱. 끄덕끄덕, With a nod
203,그&#62273;록,그&#62273;록,IS01S," 그처럼, 그렇게", Such like that
204,그차락,그차락,IS01S,그렇게까지, That much
205,그자,그자,IS01S,기자. 그저, For nothing
206,그마니,그마니,IS01S,그만큼, As much
207,그득,그득,IS01S,&#57767;득<&#57767;뜩. 가득, Fully
208,그냥저냥,그냥저냥,IS01S,그렁저렁=그영저영=기영저영. 그럭저럭, So so
209,그냥,그냥,IS01S,기냥. 그대로, As it is
210,굴무락이,굴무락이,IS01S,행동이 느리게, Slowly
211,괴로이,괴로이,IS01S,괴롭게, Painfully
212,곧작,곧작,IS01S,굳작=&#57771;작. 곧장, Right after
213,경,경,IS01S," 기영=그영, 그렇게, 그리", Such
214,겡삭겡삭,겡삭겡삭,IS01S,빙긋빙긋, Smilingly
215,게민,게민,IS01S,그러면, Then
216,깨,깨,IS01D,꽤, Quite
217,깜째기,깜째기,IS01D,갑재기=깝재기. 갑자기, All of sudden
218,게메,게메,IS01S," 게메선=게메서란. 그러기에, 그러므로", Therefore
219,게난,게난,IS01S,"  그러니, 그러니까", So
220,건성건성,건성건성,IS01S,대강대강, Roughly
221,거저,거저,IS01S,거줌. 거의, Almost
222,거쓴,거쓴,IS01S,걸른. 얼른, Quickly
223,거꿀로,거꿀로,IS01S,거수로. 거꾸로, Reversely
224,간대로,간대로,IS01S,함부로, At random
225,히어뜩&#62775;다,히어뜩&#62775;다,IS14S," 어지럽다, 정신이 어지러워지다."," Dizzy, confusing"
226,히미&#62775;다,히미&#62775;다,IS14S,부옇다., Rather pale
227,히다¹,히다¹,IS14S,희다., White
228,흥강&#62775;다,흥강&#62775;다,IS14S,흥그랑&#62775;다. 흥건하다., Watery
229,흘탁&#62775;다,흘탁&#62775;다,IS14S,신발 따위가 헐렁하다., Something like shoes is loose
230,&#54989;직&#62775;다,&#54989;직&#62775;다,IS14S,굵직하다., rather thick
231,&#54989;직&#54989;직&#62775;다,&#54989;직&#54989;직&#62775;다,IS14S,굵직굵직하다., be all thick
232,&#54989;다,&#54989;다,IS14S,굵다., Thick
233,환칠&#62775;다,환칠&#62775;다,IS14S," 널찍하다, 환하다."," Spacy, bright"
234,호되다,호되다,IS14S,엄하다., Strict
235,헤삭&#62775;다,헤삭&#62775;다,IS14S,맨 것이 단단하지 않다., loosely tied
236,험상스럽다,험상스럽다,IS14S,꼴이 흉하다., Coarse
237,허영&#62775;다,허영&#62775;다,IS14S,헤영&#62775;다=헤양&#62775;다<히영&#62775;다. 허옇다., Very white
238,허드렁&#62775;다,허드렁&#62775;다,IS14S," 헛되다, 진실성이 없다."," Artificial, Vain"
239,한한&#62775;다,한한&#62775;다,IS14S,매우 많다., Plentiful
240,하양&#62775;다,하양&#62775;다,IS14S,해양&#62775;다. 하얗다., White
241,하다,하다,IS14S,많다., Many
242,푹시근&#62775;다,푹시근&#62775;다,IS13S," 포근하다, 뚱뚱하다.", Cozy
243,푸지다,푸지다,IS13S," 푸짐하다, 흡족하다.", Abundant
244,펜고&#62775;다,펜고&#62775;다,IS13S,편안하다., Comfortable
245,파랑&#62775;다,파랑&#62775;다,IS13S,파랗다., Blue
246,&#62528;아지다,&#62528;아지다,IS12S,비뚤어지다., Crooked
247,&#62526;&#62526;&#62775;다,&#62526;&#62526;&#62775;다,IS12S,단단하다. 튼튼하다," Hard, sturdy"
248,퉁퉁&#62775;다,퉁퉁&#62775;다,IS12S,뚱뚱하다., Fat
249,큰큰&#62775;다,큰큰&#62775;다,IS11S,매우 크다., Huge
250,코소롱&#62775;다,코소롱&#62775;다,IS11S,<쿠수룽&#62775;다. 고소하다<구수하다., Tasty
251,&#62275;&#62275;&#62775;다²,&#62275;&#62275;&#62775;다²,IS10S," 찬찬하다, 천천하다.", Take time
252,&#62273;지다,&#62273;지다,IS10S,차지다., Sticky
253,&#62273;다³,&#62273;다³,IS10S,차다(寒)., Cold
254,&#62273;다²,&#62273;다²,IS10S,짜다., Salty
255,&#62273;다¹,&#62273;다¹,IS10S,차다(滿)., Full
256,&#62273;근&#62775;다,&#62273;근&#62775;다,IS10S,차근차근하다., Careful
257,추접&#62775;다,추접&#62775;다,IS10S,추저분하다., Crude
258,추접스럽다,추접스럽다,IS10S,추잡스럽다., Indecent
259,초랍다,초랍다,IS10S," 떫다, 초 맛 같다."," Puckery, Sour"
260,&#61965;다,&#61965;다,IS09S," 잦다, 배다.", Frequent
261,&#61956;&#61956;&#62775;다,&#61956;&#61956;&#62775;다,IS09S,잠잠하다., Quiet
262,&#61956;질다,&#61956;질다,IS09S," 가늘다, 세밀하다.", Fine
263,&#61956;진&#61956;진&#62775;다,&#61956;진&#61956;진&#62775;다,IS09S,매우 가늘다., Very thin
264,&#61952;다,&#61952;다,IS09S,잘다., Small
265,&#61950;&#61950;&#62775;다,&#61950;&#61950;&#62775;다,IS09S,자잘하다., All tiny
266,&#61948;르다,&#61948;르다,IS09S,=&#61952;르다 <&#62032;르다 =&#62035;르다. 자르다., Cut
267,질쭉&#62775;다,질쭉&#62775;다,IS09S,<질찍&#62775;다 길쭉하다., All longish
268,질다,질다,IS09S,① 길다. ②습하다.," Long, damp"
269,질긴질긴&#62775;다,질긴질긴&#62775;다,IS09S,매우 질기다., Very tough
270,진진&#62775;다,진진&#62775;다,IS09S,길고 길다., Very long
271,지프(깊으)다,지프(깊으)다,IS09S,깊다., Deep
272,지치다,지치다,IS09S," 고단하다, 가쁘다, 여위다."," Hard, exhausted, thin"
273,지접다,지접다,IS09S,뜨겁다., Hot
274,지껍다,지껍다,IS09S,기쁘다., Delightful
275,지꺼지다,지꺼지다,IS09S,기뻐하여지다., Happy
276,줄다,줄다,IS09S,여위다., Thin
277,준쭌&#62775;다,준쭌&#62775;다,IS09S,매우 여위다., Skinny
278,졸바르다,졸바르다,IS09S,바르다., Right
279,존존&#62775;다,존존&#62775;다,IS09S,매우 좋다., Very good
280,족은족은&#62775;다,족은족은&#62775;다,IS09S," 매우 작다, 매우 적다."," Very little, very few"
281,족다,족다,IS09S," 작다, 적다."," Little, few"
282,조랍다,조랍다,IS09S,졸리다., Sleepy
283,조라지다,조라지다,IS09S,너그럽지 못하다., Not generous
284,재끄만&#62775;다,재끄만&#62775;다,IS09S,=조꼬만&#62775;다. 작다.,Small
285,&#61064;소록&#62775;다,&#61064;소록&#62775;다,IS08S," 태도가 조용하다, 조용하고 깊숙하다."," Calm, quiet and prudent"
286,이뿌정&#62775;다,이뿌정&#62775;다,IS08S,이쁘다., Pretty
287,이뜩&#62775;다,이뜩&#62775;다,IS08S,착하다., Nice
288,우터&#62775;다,우터&#62775;다,IS08S,위험하다., Dangerous
289,우싹&#62775;다,우싹&#62775;다,IS08S,바늘로 찌르는 듯한 느낌이 있다., It feels like being pricked with a needle
290,용&#62775;다,용&#62775;다,IS08S,침착하다. →&#58959;다., Prudent
291,요망지다,요망지다,IS08S,똑똑하다., Smart
292,외다,외다,IS08S,=외&#58341;다=외&#62524;다. 멀리 떨어져 외롭다., Feel lonely when separated
293,왕왕&#62775;다,왕왕&#62775;다,IS08S,소리가 시끄럽다., Noisy
294,왁왁&#62775;다,왁왁&#62775;다,IS08S,컴컴하다., Dark
295,왁왁침침&#62775;다,왁왁침침&#62775;다,IS08S,어두침침하다., Rather dark
296,와랑와랑&#62775;다,와랑와랑&#62775;다,IS08S,불이 세게 일어나는 꼴의 흉내말., Blaze fiercely
297,와락와락&#62775;다,와락와락&#62775;다,IS08S,우락우락&#62775;다. 따끈따끈하다<뜨끈뜨끈하다., Hot
298,옹색&#62775;다,옹색&#62775;다,IS08S," 돈이 없어 곤란하다, 거래가 막히다, 자리가 좁다."," Suffer from financial difficulties, business relations got broken off, space is narrow"
299,오짝&#62775;다,오짝&#62775;다,IS08S,오쪽&#62775;다. 오똑하다., Lofty
300,오슬오슬&#62775;다,오슬오슬&#62775;다,IS08S," 시루떡 따위가 부스러지지 않고 옹골차다, 잔 것이 싱싱하다."," Hard, firm"
301,오모록&#62775;다,오모록&#62775;다,IS08S,우무룩&#62775;다. 오목하다<우묵하다., Concave
302,역다,역다,IS08S,욕다. ① 약다. ②나이를 먹다., Grow older
303,여데다,여데다,IS08S,같다., Identical
304,엑&#62775;다,엑&#62775;다,IS08S," 억울하다, 분하다.", Feel victimized
305,엉기다,엉기다,IS08S," 성기다, 설피다.", Rough
306,엇다,엇다,IS08S,웃다. 없다., Inexistent
307,얼다,얼다,IS08S,을다. 춥다., Chilly
308,어지렁&#62775;다,어지렁&#62775;다,IS08S,어지럽다., Dizzy
309,어중간&#62775;다,어중간&#62775;다,IS08S," 어중구랑&#62775;다. ① 몽종하다, 의심스럽다. ② 흐리멍덩하다."," Confused, vague, suspicious"
310,어정쩡&#62775;다,어정쩡&#62775;다,IS08S,얼떨떨하다., Dazed
311,야속&#62775;다,야속&#62775;다,IS08S,성질이 잘다. 치밀하다.," Accurate, cautious"
312,야리다,야리다,IS08S,여리다., Vulnerable
313,야드락지다,야드락지다,IS08S," 자지러지다, 요란스럽다."," Noisy, uproarious"
314,알리다,알리다,IS08S,아프다., Sick
315,아니꼽상스럽다,아니꼽상스럽다,IS08S,지나치게 아니꼽다., Too much disgusting
316,아노록&#62775;다,아노록&#62775;다,IS08S,아녹&#62775;다=아도록&#62775;다. 아늑하다., Cozy
317,아깝다,아깝다,IS08S,귀엽다., Cute
318,&#59773;복&#62775;다,&#59773;복&#62775;다,IS07S,소복하다., Be heaped up
319,&#59773;르르&#62775;다,&#59773;르르&#62775;다,IS07S,&#59773;르륵&#62775;다. ① 목이 시원하다. ② 마음이 가라앉는 느낌이 있다.," Gorge feels cool, depressing"
320,&#59773;락&#59773;락&#62775;다,&#59773;락&#59773;락&#62775;다,IS07S,바삭 마른 느낌이 있다., It feels very dry
321,싯다,싯다,IS07S," 잇다. 있다, 계시다(싯다, 싯고, 싯지, 시어, 시니).", Be present
322,실프다,실프다,IS07S,싫다., Detest
323,실렵다,실렵다,IS07S,실립다. 차다.," Icy, cold"
324,식식&#62775;다,식식&#62775;다,IS07S,씩씩&#62775;다. ① 싱싱하다. ②엄하다.," Fresh, strict"
325,숭&#62775;다,숭&#62775;다,IS07S,흉하다., Coarse
326,수악수악&#62775;다,수악수악&#62775;다,IS07S," 사박사박하다, 싹싹하다.", Sweet and kind
327,수수&#62775;다,수수&#62775;다,IS07S,검소하다., Thrift
328,쎄다,쎄다,IS07D," 씨다. 세다, 굳다, 튼튼하다."," Strong, hard"
329,썸찌근&#62775;다,썸찌근&#62775;다,IS07D,썸찍&#62775;다. 지긋지긋하다., Fed up with
330,써글라&#62775;다,써글라&#62775;다,IS07D,매우 냉하다., Very cold
331,싸무랍다,싸무랍다,IS07D,사납다., Ferocious
332,싸다,싸다,IS07D,① 그만한 가치가 있다. ② 그래도 마땅하다(죽어도 싸다)., It deserves
333,섭섭&#62775;다,섭섭&#62775;다,IS07S," 출출하다, 서운하다."," Hungry, afraid"
334,서창&#62775;다,서창&#62775;다,IS07S," 서럽다, 슬프다."," Sad, sorrowful"
335,서느럽다,서느럽다,IS07S,선선하다., Cool
336,삼드랑&#62775;다,삼드랑&#62775;다,IS07S,삼삼&#62775;다. 싱겁다., It tastes flat
337,살치다,살치다,IS07S," &#59778;지다=&#59778;치다. 살찌다, 새끼 따위가 굵다."," Get fat,  a straw rope is thick"
338,산드랑&#62775;다,산드랑&#62775;다,IS07S,조금 사느랗다., Rather chilly
339,사락사락&#62775;다,사락사락&#62775;다,IS07S,① 깔깔하다. ② 물기가 없어 포근하다.," It feels coarse, cozy without dampness"
340,사노롱&#62775;다,사노롱&#62775;다,IS07S,서누룽&#62775;다. 사늘하다<서늘하다., Cool
341,&#58960;다,&#58960;다,IS06S,밝다., Bright
342,&#59165;르다,&#59165;르다,IS06D,&#59166;르다. 빠르다., Fast
343,&#58954;랑지다,&#58954;랑지다,IS06S,부지런하다., Deligent
344,&#58954;디다,&#58954;디다,IS06S,가깝다., Be close
345,불구수룽&#62775;다,불구수룽&#62775;다,IS06S,불굽수룽&#62775;다. 불그스름하다., Be tinged with red
346,불구룽&#62775;다,불구룽&#62775;다,IS06S,블그레하다., Reddish
347,뿌영&#62775;다,뿌영&#62775;다,IS06D,뿌옇다., Misty
348,뽀쪽&#62775;다,뽀쪽&#62775;다,IS06D,뾰족하다., Pointy
349,&#48884;롱&#62775;다,&#48884;롱&#62775;다,IS06D,눈이 튀어나 보이다., Someone's eyes look projected
350,부치럽다,부치럽다,IS06S,비치럽다=비끄럽다. 부끄럽다., Feel ashamed
351,부작&#62775;다,부작&#62775;다,IS06S,부족하다., Insufficient
352,부영&#62775;다,부영&#62775;다,IS06S,부옇다., Misty
353,복삭&#62775;다,복삭&#62775;다,IS06S,박삭&#62775;다.<북삭&#62775;다. 털이 많다., Hairy
354,보양&#62775;다,보양&#62775;다,IS06S,보영&#62775;다. 보얗다., Pale
355,보미다,보미다,IS06S,낡다. 녹슬다.," Wear out, get rusty"
356,보드랍다,보드랍다,IS06S,&#58954;드랍다. 부드럽다., Soft
357,벨&#62775;다,벨&#62775;다,IS06S,별다르다., Special
358,벨라지다,벨라지다,IS06S,바라지다., Split off
